"pharm_class","pharm_subclass","gpi_group","gpi_class","gpi_subclass","ingredient_rxcui_name"
"Analgesics-narcotic","Opioid Combinations",,,,"No ingredient mapped"
"Analgesics-narcotic","Opioid Combinations","65","99","00","oxycodone"
"Analgesics-narcotic","Opioid Combinations","65","99","20","propoxyphene"
"Analgesics-narcotic","Opioid Combinations","65","99","15","ropivacaine"
"Analgesics-narcotic","Opioid Combinations","65","99","15","sodium chloride"
"Analgesics-narcotic","Opioid Combinations","65","99","50","tramadol"
"Analgesics-narcotic","Opioid Partial Agonists","65","20","00","buprenorphine"
"Analgesics-narcotic","Opioid Partial Agonists","65","20","00","butorphanol"
"Analgesics-narcotic","Opioid Partial Agonists","65","20","00","nalbuphine"
"Analgesics-narcotic","Opioid Partial Agonists","65","20","00","naloxone"
"Analgesics-narcotic","Opioid Partial Agonists","65","20","00","pentazocine"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","00","acetaminophen"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","acetaminophen"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","00","aspirin"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","aspirin"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","butalbital"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","00","caffeine"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","caffeine"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","No ingredient mapped"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","pamabrom"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","00","pyrilamine"
"Analgesics-nonnarcotic","Analgesic Combinations","64","99","10","pyrilamine"
"Analgesics-nonnarcotic","Analgesics Other","64","20","00","acetaminophen"
"Analgesics-nonnarcotic","Analgesics Other",,,,"acetaminophen"
"Analgesics-nonnarcotic","Analgesics Other","64","20","00","clonidine"
"Analgesics-nonnarcotic","Analgesics Other","64","20","00","No ingredient mapped"
"Analgesics-nonnarcotic","Analgesics Other",,,,"No ingredient mapped"
"Analgesics-nonnarcotic","Analgesics-Peptide Channel Blockers","64","15","40","ziconotide"
"Analgesics-nonnarcotic","Salicylates","64","10","00","aspirin"
"Analgesics-nonnarcotic","Salicylates","64","10","99","aspirin"
"Analgesics-nonnarcotic","Salicylates","AO","11","50","aspirin"
"Analgesics-nonnarcotic","Salicylates","64","10","99","choline"
"Analgesics-nonnarcotic","Salicylates","64","10","99","citric acid"
"Analgesics-nonnarcotic","Salicylates","64","10","00","diflunisal"
"Analgesics-nonnarcotic","Salicylates","64","10","99","magnesium salicylate"
"Analgesics-nonnarcotic","Salicylates","64","10","00","No ingredient mapped"
"Analgesics-nonnarcotic","Salicylates",,,,"No ingredient mapped"
"Analgesics-nonnarcotic","Salicylates","64","10","00","salsalate"
"Analgesics-nonnarcotic","Salicylates","64","10","99","sodium bicarbonate"
"Androgen-anabolic","Anabolic Steroids","23","20","00","oxandrolone"
"Androgen-anabolic","Androgens","23","10","00","danazol"
"Androgen-anabolic","Androgens","23","10","00","fluoxymesterone"
"Androgen-anabolic","Androgens","23","10","00","methyltestosterone"
"Androgen-anabolic","Androgens","23","10","00","No ingredient mapped"
"Androgen-anabolic","Androgens","23","10","00","testosterone"
"Anorectal","Intrarectal Steroids","89","15","00","budesonide"
"Anorectal","Intrarectal Steroids","89","15","00","hydrocortisone"
"Anorectal","Intrarectal Steroids","89","15","00","No ingredient mapped"
"Anorectal","Rectal Combinations","89","99","40","cocoa butter"
"Anorectal","Rectal Combinations","89","99","20","glycerin"
"Anorectal","Rectal Combinations","89","99","40","glycerin"
"Anorectal","Rectal Combinations","89","99","10","hydrocortisone"
"Anorectal","Rectal Combinations","89","99","20","lidocaine"
"Anorectal","Rectal Combinations","89","99","20","mineral oil"
"Anorectal","Rectal Combinations","89","99","40","mineral oil"
"Anorectal","Rectal Combinations","89","99","10","No ingredient mapped"
"Anorectal","Rectal Combinations",,,,"No ingredient mapped"
"Anorectal","Rectal Combinations","89","99","20","petrolatum"
"Anorectal","Rectal Combinations","89","99","40","petrolatum"
"Anorectal","Rectal Combinations","89","99","20","phenylephrine"
"Anorectal","Rectal Combinations","89","99","40","phenylephrine"
"Anorectal","Rectal Combinations","89","99","10","pramoxine"
"Anorectal","Rectal Combinations","89","99","20","pramoxine"
"Anorectal","Rectal Combinations","89","99","40","shark liver oil"
"Anorectal","Rectal Combinations","89","99","20","zinc oxide"
"Anorectal","Rectal Local Anesthetics","89","20","00","dibucaine"
"Anorectal","Rectal Local Anesthetics","89","20","00","lidocaine"
"Anorectal","Rectal Local Anesthetics","89","20","00","pramoxine"
"Anorectal","Rectal Steroids","89","10","00","hydrocortisone"
"Anorectal","Vasodilating Agents","89","25","40","nitroglycerin"
"Antacids","Antacid Combinations","48","99","00","alginic acid"
"Antacids","Antacid Combinations","48","99","00","aluminum hydroxide"
"Antacids","Antacid Combinations","48","99","10","aluminum hydroxide"
"Antacids","Antacid Combinations","48","99","00","calcium carbonate"
"Antacids","Antacid Combinations","48","99","10","calcium carbonate"
"Antacids","Antacid Combinations","48","99","10","citric acid"
"Antacids","Antacid Combinations","48","99","10","magaldrate"
"Antacids","Antacid Combinations","48","99","00","magnesium carbonate"
"Antacids","Antacid Combinations","48","99","00","magnesium hydroxide"
"Antacids","Antacid Combinations","48","99","10","magnesium hydroxide"
"Antacids","Antacid Combinations","48","99","00","magnesium trisilicate"
"Antacids","Antacid Combinations","48","99","10","simethicone"
"Antacids","Antacid Combinations","48","99","00","sodium bicarbonate"
"Antacids","Antacid Combinations","48","99","10","sodium bicarbonate"
"Antacids","Antacids - Aluminum Salts","48","10","00","aluminum hydroxide"
"Antacids","Antacids - Aluminum Salts","48","10","00","dihydroxyaluminum sodium carbonate"
"Antacids","Antacids - Bicarbonate",,,,"No ingredient mapped"
"Antacids","Antacids - Bicarbonate","48","20","00","sodium bicarbonate"
"Antacids","Antacids - Calcium Salts","48","30","00","calcium carbonate"
"Antacids","Antacids - Magnesium Salts","48","40","00","magaldrate"
"Antacids","Antacids - Magnesium Salts","48","40","00","magnesium oxide"
"Antacids","Antacids - Magnesium Salts","79","40","00","magnesium oxide"
"Antacids","Antacids - Magnesium Salts","48","40","00","magnesium trisilicate"
"Anthelmintic","Anthelmintics","15","00","00","albendazole"
"Anthelmintic","Anthelmintics","15","00","00","benznidazole"
"Anthelmintic","Anthelmintics","15","00","00","ivermectin"
"Anthelmintic","Anthelmintics","15","00","00","mebendazole"
"Anthelmintic","Anthelmintics","15","00","00","praziquantel"
"Antianginal agents","Antianginals-Other","32","20","00","ranolazine"
"Antianginal agents","Nitrates","32","10","00","amyl nitrite"
"Antianginal agents","Nitrates","32","10","00","isosorbide"
"Antianginal agents","Nitrates","32","10","00","isosorbide dinitrate"
"Antianginal agents","Nitrates","32","10","00","nitroglycerin"
"Antianginal agents","Nitrates","32","10","00","No ingredient mapped"
"Antianginal agents","Nitrates",,,,"No ingredient mapped"
"Antianxiety agents","Antianxiety Agents - Misc.","57","20","00","buspirone"
"Antianxiety agents","Antianxiety Agents - Misc.","57","20","00","droperidol"
"Antianxiety agents","Antianxiety Agents - Misc.","57","20","00","hydroxyzine"
"Antianxiety agents","Antianxiety Agents - Misc.","57","20","00","meprobamate"
"Antianxiety agents","Antianxiety Agents - Misc.","57","20","00","No ingredient mapped"
"Antianxiety agents","Benzodiazepines","57","10","00","alprazolam"
"Antianxiety agents","Benzodiazepines","57","10","00","chlordiazepoxide"
"Antianxiety agents","Benzodiazepines","57","10","00","clorazepate"
"Antianxiety agents","Benzodiazepines","57","10","00","diazepam"
"Antianxiety agents","Benzodiazepines","57","10","00","lorazepam"
"Antianxiety agents","Benzodiazepines","57","10","00","No ingredient mapped"
"Antianxiety agents","Benzodiazepines",,,,"No ingredient mapped"
"Antianxiety agents","Benzodiazepines","57","10","00","oxazepam"
"Antiarrhythmic","Antiarrhythmics - Misc.","35","50","00","adenosine"
"Antiarrhythmic","Antiarrhythmics Type I-A","35","10","00","disopyramide"
"Antiarrhythmic","Antiarrhythmics Type I-A","35","10","00","procainamide"
"Antiarrhythmic","Antiarrhythmics Type I-A","35","10","00","quinidine"
"Antiarrhythmic","Antiarrhythmics Type I-B","35","20","00","lidocaine"
"Antiarrhythmic","Antiarrhythmics Type I-B","35","20","00","mexiletine"
"Antiarrhythmic","Antiarrhythmics Type I-B","35","20","00","No ingredient mapped"
"Antiarrhythmic","Antiarrhythmics Type I-C","35","30","00","flecainide"
"Antiarrhythmic","Antiarrhythmics Type I-C","35","30","00","No ingredient mapped"
"Antiarrhythmic","Antiarrhythmics Type I-C",,,,"No ingredient mapped"
"Antiarrhythmic","Antiarrhythmics Type I-C","35","30","00","propafenone"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","amiodarone"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","bretylium"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","dofetilide"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","dronedarone"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","ibutilide"
"Antiarrhythmic","Antiarrhythmics Type III","35","40","00","No ingredient mapped"
"Antiarrhythmic","Antiarrhythmics Type III",,,,"No ingredient mapped"
"Antiarrhythmic","Antiarrhythmics Type I - Nonspecific","35","05","00","moricizine"
"Antiasthmatic","Antiasthmatic - Monoclonal Antibodies","44","60","40","benralizumab"
"Antiasthmatic","Antiasthmatic - Monoclonal Antibodies","44","60","40","mepolizumab"
"Antiasthmatic","Antiasthmatic - Monoclonal Antibodies","44","60","80","No ingredient mapped"
"Antiasthmatic","Antiasthmatic - Monoclonal Antibodies","44","60","30","omalizumab"
"Antiasthmatic","Antiasthmatic - Monoclonal Antibodies","44","60","44","reslizumab"
"Antiasthmatic","Anti-Inflammatory Agents","44","15","00","cromolyn"
"Antiasthmatic","Anti-Inflammatory Agents","44","15","00","nedocromil"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","aclidinium"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","glycopyrronium"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","ipratropium"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","revefenacin"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","tiotropium"
"Antiasthmatic","Bronchodilators - Anticholinergics","44","10","00","umeclidinium"
"Antiasthmatic","Leukotriene Modulators","44","50","50","montelukast"
"Antiasthmatic","Leukotriene Modulators",,,,"No ingredient mapped"
"Antiasthmatic","Leukotriene Modulators","44","50","50","zafirlukast"
"Antiasthmatic","Leukotriene Modulators","44","50","40","zileuton"
"Antiasthmatic","Selective Phosphodiesterase 4 (PDE4) Inhibitors","44","45","00","roflumilast"
"Antiasthmatic","Steroid Inhalants","44","40","00","beclomethasone"
"Antiasthmatic","Steroid Inhalants","44","40","00","budesonide"
"Antiasthmatic","Steroid Inhalants","44","40","00","ciclesonide"
"Antiasthmatic","Steroid Inhalants","44","40","00","flunisolide"
"Antiasthmatic","Steroid Inhalants","44","40","00","fluticasone"
"Antiasthmatic","Steroid Inhalants","44","40","00","mometasone"
"Antiasthmatic","Steroid Inhalants","44","40","00","No ingredient mapped"
"Antiasthmatic","Steroid Inhalants","44","40","00","triamcinolone"
"Antiasthmatic","Sympathomimetics","44","20","10","albuterol"
"Antiasthmatic","Sympathomimetics","44","20","99","albuterol"
"Antiasthmatic","Sympathomimetics","44","20","10","arformoterol"
"Antiasthmatic","Sympathomimetics","44","20","99","budesonide"
"Antiasthmatic","Sympathomimetics","44","20","20","ephedrine"
"Antiasthmatic","Sympathomimetics","38","00","00","epinephrine"
"Antiasthmatic","Sympathomimetics","44","20","20","epinephrine"
"Antiasthmatic","Sympathomimetics",,,,"epinephrine"
"Antiasthmatic","Sympathomimetics","44","20","99","fluticasone"
"Antiasthmatic","Sympathomimetics","44","20","10","formoterol"
"Antiasthmatic","Sympathomimetics","44","20","99","formoterol"
"Antiasthmatic","Sympathomimetics","44","20","99","glycopyrronium"
"Antiasthmatic","Sympathomimetics","44","20","10","indacaterol"
"Antiasthmatic","Sympathomimetics","44","20","99","ipratropium"
"Antiasthmatic","Sympathomimetics","44","20","10","isoproterenol"
"Antiasthmatic","Sympathomimetics","44","20","10","levalbuterol"
"Antiasthmatic","Sympathomimetics","44","20","10","metaproterenol"
"Antiasthmatic","Sympathomimetics","44","20","99","mometasone"
"Antiasthmatic","Sympathomimetics","44","20","10","No ingredient mapped"
"Antiasthmatic","Sympathomimetics","44","20","20","No ingredient mapped"
"Antiasthmatic","Sympathomimetics","44","20","99","No ingredient mapped"
"Antiasthmatic","Sympathomimetics",,,,"No ingredient mapped"
"Antiasthmatic","Sympathomimetics","44","20","10","olodaterol"
"Antiasthmatic","Sympathomimetics","44","20","99","olodaterol"
"Antiasthmatic","Sympathomimetics","44","20","10","pirbuterol"
"Antiasthmatic","Sympathomimetics","44","20","20","racepinephrine"
"Antiasthmatic","Sympathomimetics","44","20","10","salmeterol"
"Antiasthmatic","Sympathomimetics","44","20","99","salmeterol"
"Antiasthmatic","Sympathomimetics","44","20","10","terbutaline"
"Antiasthmatic","Sympathomimetics","44","20","99","tiotropium"
"Antiasthmatic","Sympathomimetics","44","20","99","umeclidinium"
"Antiasthmatic","Sympathomimetics","44","20","99","vilanterol"
"Antiasthmatic","Xanthines","44","30","00","aminophylline"
"Antiasthmatic","Xanthines","44","30","00","No ingredient mapped"
"Antiasthmatic","Xanthines","44","30","00","theophylline"
"Anticoagulants","Anticoagulants - Misc.",,,,"No ingredient mapped"
"Anticoagulants","Coumarin Anticoagulants","83","20","00","No ingredient mapped"
"Anticoagulants","Coumarin Anticoagulants",,,,"No ingredient mapped"
"Anticoagulants","Coumarin Anticoagulants","83","20","00","warfarin"
"Anticoagulants","Direct Factor Xa Inhibitors","83","37","00","apixaban"
"Anticoagulants","Direct Factor Xa Inhibitors","83","37","00","edoxaban"
"Anticoagulants","Direct Factor Xa Inhibitors",,,,"No ingredient mapped"
"Anticoagulants","Direct Factor Xa Inhibitors","83","37","00","rivaroxaban"
"Anticoagulants","Glycopeptides",,,,"No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","10","dalteparin"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","10","enoxaparin"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","30","fondaparinux"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","00","heparin"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","00","No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","10","No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents","83","10","30","No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents","HA","LO","-1","No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents","HE","PA","RI","No ingredient mapped"
"Anticoagulants","Heparins And Heparinoid-Like Agents",,,,"No ingredient mapped"
"Anticoagulants","In Vitro/Lock Anticoagulants","83","40","00","No ingredient mapped"
"Anticoagulants","In Vitro/Lock Anticoagulants",,,,"No ingredient mapped"
"Anticoagulants","In Vitro/Lock Anticoagulants","83","40","00","sodium citrate"
"Anticoagulants","Thrombin Inhibitors","83","33","70","argatroban"
"Anticoagulants","Thrombin Inhibitors","83","33","40","bivalirudin"
"Anticoagulants","Thrombin Inhibitors","83","33","70","dabigatran etexilate"
"Anticoagulants","Thrombin Inhibitors","83","33","40","lepirudin"
"Anticonvulsant","AMPA Glutamate Receptor Antagonists","72","55","00","perampanel"
"Anticonvulsant","Anticonvulsants - Benzodiazepines","72","10","00","clobazam"
"Anticonvulsant","Anticonvulsants - Benzodiazepines","72","10","00","clonazepam"
"Anticonvulsant","Anticonvulsants - Benzodiazepines","72","10","00","diazepam"
"Anticonvulsant","Anticonvulsants - Benzodiazepines","72","10","00","No ingredient mapped"
"Anticonvulsant","Anticonvulsants - Benzodiazepines",,,,"No ingredient mapped"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","brivaracetam"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","cannabidiol"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","carbamazepine"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","eslicarbazepine"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","ezogabine"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","gabapentin"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","lacosamide"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","lamotrigine"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","levetiracetam"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","No ingredient mapped"
"Anticonvulsant","Anticonvulsants - Misc.",,,,"No ingredient mapped"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","oxcarbazepine"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","pregabalin"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","primidone"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","rufinamide"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","topiramate"
"Anticonvulsant","Anticonvulsants - Misc.","72","60","00","zonisamide"
"Anticonvulsant","Carbamates","72","12","00","cenobamate"
"Anticonvulsant","Carbamates","72","12","00","felbamate"
"Anticonvulsant","GABA Modulators","72","17","00","tiagabine"
"Anticonvulsant","GABA Modulators","72","17","00","vigabatrin"
"Anticonvulsant","Hydantoins","72","20","00","ethotoin"
"Anticonvulsant","Hydantoins","72","20","00","fosphenytoin"
"Anticonvulsant","Hydantoins","72","20","00","No ingredient mapped"
"Anticonvulsant","Hydantoins",,,,"No ingredient mapped"
"Anticonvulsant","Hydantoins","72","20","00","phenytoin"
"Anticonvulsant","Succinimides","72","40","00","ethosuximide"
"Anticonvulsant","Succinimides","72","40","00","methsuximide"
"Anticonvulsant","Valproic Acid","72","50","00","No ingredient mapped"
"Anticonvulsant","Valproic Acid","72","50","00","valproate"
"Anticonvulsant",,,,,"No ingredient mapped"
"Antidepressants","Alpha-2 Receptor Antagonists (Tetracyclics)","58","03","00","mirtazapine"
"Antidepressants","Alpha-2 Receptor Antagonists (Tetracyclics)","58","03","00","No ingredient mapped"
"Antidepressants","Antidepressant Combinations","58","99","80","No ingredient mapped"
"Antidepressants","Antidepressant Combinations","58","99","85","No ingredient mapped"
"Antidepressants","Antidepressants - Misc.","58","30","00","bupropion"
"Antidepressants","Antidepressants - Misc.","58","30","00","maprotiline"
"Antidepressants","Antidepressants - Misc.","58","30","00","No ingredient mapped"
"Antidepressants","Monoamine Oxidase Inhibitors (MAOIs)","58","10","00","isocarboxazid"
"Antidepressants","Monoamine Oxidase Inhibitors (MAOIs)","58","10","00","phenelzine"
"Antidepressants","Monoamine Oxidase Inhibitors (MAOIs)","58","10","00","selegiline"
"Antidepressants","Monoamine Oxidase Inhibitors (MAOIs)","58","10","00","tranylcypromine"
"Antidepressants","N-Methyl-D-aspartic acid (NMDA) Receptor Antagonists","58","11","00","esketamine"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","citalopram"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","escitalopram"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","fluoxetine"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","fluvoxamine"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","No ingredient mapped"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","paroxetine"
"Antidepressants","Selective Serotonin Reuptake Inhibitors (SSRIs)","58","16","00","sertraline"
"Antidepressants","Serotonin Modulators","58","12","00","nefazodone"
"Antidepressants","Serotonin Modulators","58","12","00","No ingredient mapped"
"Antidepressants","Serotonin Modulators","58","12","00","trazodone"
"Antidepressants","Serotonin Modulators","58","12","00","vilazodone"
"Antidepressants","Serotonin Modulators","58","12","00","vortioxetine"
"Antidepressants","Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs)","58","18","00","desvenlafaxine"
"Antidepressants","Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs)","58","18","00","duloxetine"
"Antidepressants","Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs)","58","18","00","levomilnacipran"
"Antidepressants","Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs)","58","18","00","venlafaxine"
"Antidepressants","Tricyclic Agents","58","20","00","amitriptyline"
"Antidepressants","Tricyclic Agents","58","20","00","amoxapine"
"Antidepressants","Tricyclic Agents","58","20","00","clomipramine"
"Antidepressants","Tricyclic Agents","58","20","00","desipramine"
"Antidepressants","Tricyclic Agents","58","20","00","doxepin"
"Antidepressants","Tricyclic Agents","58","20","00","imipramine"
"Antidepressants","Tricyclic Agents","58","20","00","No ingredient mapped"
"Antidepressants","Tricyclic Agents","58","20","00","nortriptyline"
"Antidepressants","Tricyclic Agents","58","20","00","protriptyline"
"Antidepressants","Tricyclic Agents","58","20","00","trimipramine"
"Antidiabetic","Alpha-Glucosidase Inhibitors","27","50","00","acarbose"
"Antidiabetic","Antidiabetic - Amino Acid Derivatives","27","23","40","nateglinide"
"Antidiabetic","Antidiabetic - Amylin Analogs","27","15","00","pramlintide"
"Antidiabetic","Antidiabetic Combinations","27","99","60","canagliflozin"
"Antidiabetic","Antidiabetic Combinations","27","99","70","glipizide"
"Antidiabetic","Antidiabetic Combinations","27","99","70","glyburide"
"Antidiabetic","Antidiabetic Combinations","27","99","10","insulin degludec"
"Antidiabetic","Antidiabetic Combinations","27","99","10","insulin glargine"
"Antidiabetic","Antidiabetic Combinations","27","99","25","linagliptin"
"Antidiabetic","Antidiabetic Combinations","27","99","10","liraglutide"
"Antidiabetic","Antidiabetic Combinations","27","99","10","lixisenatide"
"Antidiabetic","Antidiabetic Combinations","27","99","25","metformin"
"Antidiabetic","Antidiabetic Combinations","27","99","60","metformin"
"Antidiabetic","Antidiabetic Combinations","27","99","70","metformin"
"Antidiabetic","Antidiabetic Combinations","27","99","80","metformin"
"Antidiabetic","Antidiabetic Combinations","27","99","80","pioglitazone"
"Antidiabetic","Antidiabetic Combinations","27","99","80","rosiglitazone"
"Antidiabetic","Antidiabetic Combinations","27","99","25","saxagliptin"
"Antidiabetic","Antidiabetic Combinations","27","99","25","sitagliptin"
"Antidiabetic","Biguanides","27","25","00","metformin"
"Antidiabetic","Diabetic Other","27","30","00","alpha-d-glucopyranose"
"Antidiabetic","Diabetic Other","27","30","00","diazoxide"
"Antidiabetic","Diabetic Other","27","30","00","glucagon"
"Antidiabetic","Diabetic Other","27","30","00","glucose"
"Antidiabetic","Diabetic Other","27","30","40","mifepristone"
"Antidiabetic","Dipeptidyl Peptidase-4 (DPP-4) Inhibitors","27","55","00","alogliptin"
"Antidiabetic","Dipeptidyl Peptidase-4 (DPP-4) Inhibitors","27","55","00","linagliptin"
"Antidiabetic","Dipeptidyl Peptidase-4 (DPP-4) Inhibitors","27","55","00","No ingredient mapped"
"Antidiabetic","Dipeptidyl Peptidase-4 (DPP-4) Inhibitors","27","55","00","saxagliptin"
"Antidiabetic","Dipeptidyl Peptidase-4 (DPP-4) Inhibitors","27","55","00","sitagliptin"
"Antidiabetic","Incretin Mimetic Agents (GLP-1 Receptor Agonists)","27","17","00","albiglutide"
"Antidiabetic","Incretin Mimetic Agents (GLP-1 Receptor Agonists)","27","17","00","dulaglutide"
"Antidiabetic","Incretin Mimetic Agents (GLP-1 Receptor Agonists)","27","17","00","exenatide"
"Antidiabetic","Incretin Mimetic Agents (GLP-1 Receptor Agonists)","27","17","00","liraglutide"
"Antidiabetic","Incretin Mimetic Agents (GLP-1 Receptor Agonists)","27","17","00","semaglutide"
"Antidiabetic","Insulin","27","10","40","insulin aspart, human"
"Antidiabetic","Insulin","27","10","40","insulin aspart protamine, human"
"Antidiabetic","Insulin","27","10","40","insulin degludec"
"Antidiabetic","Insulin","27","10","40","insulin detemir"
"Antidiabetic","Insulin","27","10","40","insulin glargine"
"Antidiabetic","Insulin","27","10","40","insulin glulisine, human"
