                                    CPT      15:51 Tuesday, July 5, 2022   1

                            hcpcs    breast2016
                            27350         15   
                            27357         15   
                            27422         15   
                            27630         15   
                            27698         15   
                            29131         15   
                            33206         15   
                            38760         15   
                            43332         15   
                            46601         15   
                            56630         15   
                            57155         15   
                            57510         15   
                                    CPT      15:51 Tuesday, July 5, 2022  14

                            hcpcs    breast2016

                            60502         15   
                            60650         15   
                            61618         15   
                            63281         15   
                            64647         15   
                            65920         15   
                            66625         15   
                            66682         15   
                            76496         15   
                            80346         15   
                            81538         15   
                            84525         15   
                            86692         15   
                            87516         15   
                            87802         15   
                            93292         15   
                            93602         15   
                            93619         15   
                            96004         15   
                            96110         15   
                            99339         15   
                            99411         15   
                            99607         15   
                            00866         14   
                            15781         14   
                            20938         14   
                            23395         14   
                            24065         14   
                            24359         14   
                            25560         14   
                            26235         14   
                            26535         14   
                            27635         14   
                            27659         14   
                            27816         14   
                            28114         14   
                            31545         14   
                            32656         14   
                            33641         14   
                            35302         14   
                            36015         14   
                            37237         14   
                            43231         14   
                            43252         14   
                            43653         14   
                            58263         14   
                            61635         14   
                            62165         14   
                            63051         14   
                                    CPT      15:51 Tuesday, July 5, 2022  15

                            hcpcs    breast2016

                            63709         14   
                            64782         14   
                            66680         14   
                            66940         14   
                            67107         14   
                            67120         14   
                            67715         14   
                            67882         14   
                            69000         14   
                            69424         14   
                            70120         14   
                            73225         14   
                            75743         14   
                            78459         14   
                            78466         14   
                            78660         14   
                            80358         14   
                            80365         14   
                            81215         14   
                            81378         14   
                            81433         14   
                            82441         14   
                            84233         14   
                            84449         14   
                            85612         14   
                            86510         14   
                            90633         14   
                            90672         14   
                            90869         14   
                            90889         14   
                            92521         14   
                            92534         14   
                            93603         14   
                            94452         14   
                            94453         14   
                            96912         14   
                            99366         14   
                            99444         14   
                            99487         14   
                            00147         13   
                            01730         13   
                            10080         13   
                            15757         13   
                            15946         13   
                            20200         13   
                            21046         13   
                            22315         13   
                            22844         13   
                            22855         13   
                                    CPT      15:51 Tuesday, July 5, 2022  16

                            hcpcs    breast2016

                            24076         13   
                            24430         13   
                            24579         13   
                            24665         13   
                            25076         13   
                            26020         13   
                            26350         13   
                            26483         13   
                            26531         13   
                            26740         13   
                            27279         13   
                            27280         13   
                            27324         13   
                            27345         13   
                            27360         13   
                            27380         13   
                            27532         13   
                            27824         13   
                            27842         13   
                            28022         13   
                            28092         13   
                            28660         13   
                            29855         13   
                            29862         13   
                            29895         13   
                            31200         13   
                            32562         13   
                            36218         13   
                            37700         13   
                            37722         13   
                            37761         13   
                            42700         13   
                            43240         13   
                            43289         13   
                            46080         13   
                            49590         13   
                            57511         13   
                            58951         13   
                            61626         13   
                            61751         13   
                            62355         13   
                            63055         13   
                            63102         13   
                            63277         13   
                            65865         13   
                            67312         13   
                            67901         13   
                            67975         13   
                            68811         13   
                                    CPT      15:51 Tuesday, July 5, 2022  17

                            hcpcs    breast2016

                            70328         13   
                            71551         13   
                            75600         13   
                            75964         13   
                            76816         13   
                            78481         13   
                            78811         13   
                            80304         13   
                            80348         13   
                            81370         13   
                            84234         13   
                            85348         13   
                            85366         13   
                            86768         13   
                            86971         13   
                            87172         13   
                            87274         13   
                            90702         13   
                            90716         13   
                            90744         13   
                            92953         13   
                            92961         13   
                            93317         13   
                            95979         13   
                            99385         13   
                            00215         12   
                            11001         12   
                            15620         12   
                            19355         12   
                            20924         12   
                            23665         12   
                            24363         12   
                            24400         12   
                            24586         12   
                            25065         12   
                            25675         12   
                            26340         12   
                            26410         12   
                            26700         12   
                            26852         12   
                            27828         12   
                            28035         12   
                            28220         12   
                            28312         12   
                            29345         12   
                            29805         12   
                            29893         12   
                            31205         12   
                            33120         12   
                                    CPT      15:51 Tuesday, July 5, 2022  18

                            hcpcs    breast2016

                            33202         12   
                            33363         12   
                            33881         12   
                            35190         12   
                            38542         12   
                            40654         12   
                            42650         12   
                            43130         12   
                            43180         12   
                            43278         12   
                            45350         12   
                            46750         12   
                            49657         12   
                            52345         12   
                            52355         12   
                            53265         12   
                            53500         12   
                            57415         12   
                            58200         12   
                            60699         12   
                            61750         12   
                            62143         12   
                            63707         12   
                            64702         12   
                            64712         12   
                            64713         12   
                            67043         12   
                            69714         12   
                            74415         12   
                            76497         12   
                            77072         12   
                            78102         12   
                            80353         12   
                            80372         12   
                            84143         12   
                            84490         12   
                            85635         12   
                            86603         12   
                            87471         12   
                            90647         12   
                            93566         12   
                            93580         12   
                            96370         12   
                            97755         12   
                            99447         12   
                            01484         11   
                            01760         11   
                            11950         11   
                            11952         11   
                                    CPT      15:51 Tuesday, July 5, 2022  19

                            hcpcs    breast2016

                            11960         11   
                            17107         11   
                            19324         11   
                            21013         11   
                            21110         11   
                            21935         11   
                            22328         11   
                            22532         11   
                            22556         11   
                            24073         11   
                            24341         11   
                            24675         11   
                            25301         11   
                            25505         11   
                            26775         11   
                            26861         11   
                            27036         11   
                            27047         11   
                            27200         11   
                            27437         11   
                            27501         11   
                            27560         11   
                            27605         11   
                            27648         11   
                            27664         11   
                            27825         11   
                            28100         11   
                            28238         11   
                            29806         11   
                            29897         11   
                            31528         11   
                            32097         11   
                            32606         11   
                            33411         11   
                            33416         11   
                            36625         11   
                            36838         11   
                            40816         11   
                            41826         11   
                            41830         11   
                            42335         11   
                            45540         11   
                            47135         11   
                            47543         11   
                            49557         11   
                            57460         11   
                            58559         11   
                            58562         11   
                            61215         11   
                                    CPT      15:51 Tuesday, July 5, 2022  20

                            hcpcs    breast2016

                            61500         11   
                            62230         11   
                            63662         11   
                            64600         11   
                            66175         11   
                            67830         11   
                            67935         11   
                            68100         11   
                            68335         11   
                            68750         11   
                            70554         11   
                            73615         11   
                            76800         11   
                            76805         11   
                            80354         11   
                            80359         11   
                            82370         11   
                            84376         11   
                            85291         11   
                            86688         11   
                            87560         11   
                            92582         11   
                            93740         11   
                            94004         11   
                            94014         11   
                            95834         11   
                            95961         11   
                            99412         11   

                                   N = 959
                                   HCPCS     15:51 Tuesday, July 5, 2022  21

          hcpcs    breast2016    SHORT_DESCRIPTION

          L8000        816       Mastectomy bra                  
          J9179        705       Eribulin mesylate injection     
          J9354        693       Inj, ado-trastuzumab emt 1mg    
          Q4116        427       Alloderm                        
          L8600        335       Implant breast silicone/eq      
          L8030        330       Breast prosthes w/o adhesive    
          C1728        247       Cath, brachytx seed adm         
          C8906        245       Mri w/cont, breast,  bi         
          C8905        239       Mri w/o fol w/cont, brst, un    
          C8907        171       Mri w/o cont, breast, bi        
          G8875        171       Breast cancer dx min invsive    
          J9207        134       Ixabepilone injection           
          C9726        116       Rxt breast appl place/remov     
          C9728        103       Place device/marker, non pro    
          J1950         88       Leuprolide acetate /3.75 mg     
          G8872         85       Intraop image confirm excise    
          C2639         72       Brachytx, non-stranded,i-125    
          G8878         64       Sent lymph node biopsy          
          L8020         63       Mastectomy form                 
          C8904         61       Mri w/o cont, breast, uni       
          A9300         56       Exercise equipment              
          C1782         53       Morcellator                     
          J3030         53       Sumatriptan succinate / 6 mg    
          J0592         51       Buprenorphine hydrochloride     
          J1212         51       Dimethyl sulfoxide 50% 50 ml    
          S8037         49       Mrcp                            
          Q2049         48       Imported lipodox inj            
          Q4128         48       Flexhd/allopatchhd/matrixhd     
          A9528         45       Iodine i-131 iodide cap, dx     
          A4595         43       Tens suppl 2 lead per month     
          G0143         43       Scr c/v cyto,thinlayer,rescr    
          L8015         42       Ext breastprosthesis garment    
          C2631         41       Rep dev, urinary, w/o sling     
          G8635         41       No pharm ther osteo rx          
          G6004         40       Radiation treatment delivery    
          J2323         40       Natalizumab injection           
          J9178         40       Inj, epirubicin hcl, 2 mg       
          A4614         39       Hand-held pefr meter            
          C9898         39       Inpnt stay radiolabeled item    
          L0625         38       Lo flex l1-below l5 pre ots     
          J7645         36       Ipratropium bromide comp        
          J1572         35       Flebogamma injection            
          A4270         34       Disposable endoscope sheath     
          A7048         34       Vacuum drain bottle/tube kit    
          G9432         34       Asth controlled                 
          L4361         34       Pneuma/vac walk boot pre ots    
          G8490         33       Ra measures grp                 
          G9534         33       Adv brain image not ordered     
          J0586         33       Abobotulinumtoxina              
                                   HCPCS     15:51 Tuesday, July 5, 2022  22

          hcpcs    breast2016    SHORT_DESCRIPTION

          J7328         33       Gel-syn injection 0.1 mg        
          A4248         32       Chlorhexidine antisept          
          G8573         31       Stk cabg                        
          A9583         30       Gadofosveset trisodium inj      
          C1878         30       Matrl for vocal cord            
          G6005         30       Radiation treatment delivery    
          G8879         30       Node neg inv brst cncr          
          J1631         30       Haloperidol decanoate inj       
          L1832         30       Ko adj jnt pos r sup pre cst    
          A6211         29       Foam drg > 48 sq in w/o brdr    
          A6403         29       Sterile gauze>16 <= 48 sq in    
          A9531         29       I131 max 100uci                 
          G9533         29       Indic for head ct not valid     
          G9535         29       Normal neuro exam               
          J1742         29       Ibutilide fumarate injection    
          L3923         29       Hfo without joints pre cst      
          P3001         29       Screening pap smear by phys     
          A4570         28       Splint                          
          A6248         28       Hydrogel drsg gel filler        
          L3919         28       Ho w/o joints cf                
          S5000         28       Prescription drug, generic      
          S8948         28       Low-level laser trmt 15 min     
          A9999         27       Dme supply or accessory, nos    
          A9509         26       Iodine i-123 sod iodide mil     
          A9556         26       Ga67 gallium                    
          G8960         26       Clin tx mdd not comm            
          G8962         26       Csit on pt any reas 30 days     
          G8964         26       Csi any other than pci 2 yr     
          J3101         26       Tenecteplase injection          
          J9040         26       Bleomycin sulfate injection     
          L1906         26       Afo multilig ank sup pre ots    
          V5299         26       Hearing service                 
          A6445         25       Conform band s w <3"/yd         
          G9563         25       No f/u eval q3mo opiod tx       
          L1820         25       Ko elas w/ condyle pads & jo    
          S8990         25       Pt or manip for maint           
          A4305         24       Drug delivery system >=50 ml    
          A6022         24       Collagen drsg>16<=48 sq in      
          G0117         24       Glaucoma scrn hgh risk direc    
          J0945         24       Brompheniramine maleate inj     
          J3357         24       Ustekinumab sub cu inj, 1 mg    
          J0133         23       Acyclovir injection             
          J0712         23       Ceftaroline fosamil inj         
          L2820         23       Soft interface below knee se    
          L8614         23       Cochlear device                 
          P9033         23       Platelets leukoreduced irrad    
          A4466         22       Elastic garment/covering        
          A6206         22       Contact layer <= 16 sq in       
          G0409         22       Corf related serv 15 mins ea    
                                   HCPCS     15:51 Tuesday, July 5, 2022  23

          hcpcs    breast2016    SHORT_DESCRIPTION

          G8944         22       Ajcc mel cnr stg 0 - iic        
          J0490         22       Belimumab injection             
          J2794         22       Risperidone, long acting        
          L7510         22       Prosthetic device repair rep    
          G8633         21       Pharm ther osteo rx             
          G9276         21       Doc of tobacco user             
          G9458         21       Tob user recd cess interv       
          J1110         21       Inj dihydroergotamine mesylt    
          J7638         21       Dexamethasone comp unit         
          T2002         21       N-et; per diem                  
          A4311         20       Catheter w/o bag 2-way latex    
          A4927         20       Non-sterile gloves              
          G8966         20       Csit perf sx or high chd rsk    
          G9187         20       Bpci home visit                 
          G9506         20       Bio imm resp mod presc          
          G9623         20       Doc med rsn no scr etoh use     
          L3030         20       Foot arch support remov prem    
          S9986         20       Not medically necessary svc     
          A6253         19       Absorpt drg > 48 sq in w/o b    
          A6266         19       Impreg gauze no h20/sal/yard    
          C2615         19       Sealant, pulmonary, liquid      
          C8901         19       Mra w/o cont, abd               
          G0282         19       Elect stim wound care not pd    
          G0400         19       Home sleep test/type 4 porta    
          G9539         19       Intent pot remv time placemt    
          J2680         19       Fluphenazine decanoate 25 mg    
          J7607         19       Levalbuterol comp con           
          J7642         19       Glycopyrrolate comp con         
          L1810         19       Ko elastic with joints          
          S9470         19       Nutritional counseling, diet    
          V2750         19       Anti-reflective coating         
          V2781         19       Progressive lens per lens       
          A0424         18       Extra ambulance attendant       
          A4402         18       Lubricant per ounce             
          A4590         18       Special casting material        
          A6441         18       Pad band w>=3" <5"/yd           
          A6455         18       Self-adher band >=5"/yd         
          A6549         18       G compression stocking          
          C1822         18       Gen, neuro, hf, rechg bat       
          C1891         18       Infusion pump,non-prog, perm    
          G0129         18       Partial hosp prog service       
          G0435         18       Oral hiv-1/hiv-2 screen         
          G9143         18       Warfarin respon genetic test    
          G9304         18       Pros info op rpt                
          J1364         18       Erythro lactobionate /500 mg    
          J2690         18       Procainamide hcl injection      
          L1930         18       Afo plastic                     
          L8619         18       Coch imp ext proc/contr rplc    
          V2520         18       Contact lens hydrophilic        
                                   HCPCS     15:51 Tuesday, July 5, 2022  24

          hcpcs    breast2016    SHORT_DESCRIPTION

          V5259         18       Hearing aid, digit, bin, itc    
          A6255         17       Absorpt drg >16<=48 in w/bdr    
          A6443         17       Conform band n/s w>=3"<5"/yd    
          A9521         17       Tc99m exametazime               
          A9599         17       Radioph dx b amyloid pet nos    
          C8909         17       Mra w/cont, chest               
          C8920         17       Mra w/o fol w/cont, pelvis      
          C9899         17       Inpt implant pros dev,no cov    
          G0130         17       Single energy x-ray study       
          G0473         17       Group behave couns 2-10         
          G9278         17       Doc no daily aspirin            
          G9360         17       No doc of neg or man pos tb     
          J1800         17       Propranolol injection           
          J9301         17       Obinutuzumab inj                
          P9031         17       Platelets leukocytes reduced    
          Q4030         17       Cast sup long leg fiberglass    
          Q4051         17       Splint supplies misc            
          T1013         17       Sign lang/oral interpreter      
          V2203         17       Lens sphcyl bifocal 4.00d/.1    
          A6452         16       High compres band w>=3"<5"yd    
          G0454         16       Md document visit by npp        
          G8941         16       No doc elder scrn, pt no el     
          G9536         16       Doc med reas adv brain image    
          H0001         16       Alcohol and/or drug assess      
          J7606         16       Formoterol fumarate, inh        
          J7615         16       Levalbuterol comp unit          
          L4396         16       Static or dynami afo pre cst    
          S0119         16       Ondansetron 4 mg                
          A4250         15       Urine reagent strips/tablets    
          A9273         15       Hot/cold h2obot/cap/col/wrap    
          A9569         15       Technetium tc-99m auto wbc      
          C8903         15       Mri w/cont, breast,  uni        
          E0190         15       Positioning cushion             
          G8495         15       Ckd meas qual act perform       
          G9419         15       Med reas not incl histo type    
          J0600         15       Edetate calcium disodium inj    
          J0833         15       Cosyntropin injection nos       
          J2562         15       Plerixafor injection            
          J3105         15       Terbutaline sulfate inj         
          J8610         15       Methotrexate oral 2.5 mg        
          L0140         15       Cervical semi-rigid adjustab    
          L3702         15       Eo w/o joints cf                
          L3806         15       Whfo w/joint(s) custom fab      
          L3925         15       Fo pip dip jnt/sprng pre ots    
          L8010         15       Mastectomy sleeve               
          L8613         15       Ossicular implant               
          Q4013         15       Cast sup gauntlet plaster       
          Q9964         15       Hocm>= 400mg/ml iodine, 1ml     
          S0613         15       Ann breast exam                 
                                   HCPCS     15:51 Tuesday, July 5, 2022  25

          hcpcs    breast2016    SHORT_DESCRIPTION

          V5130         15       In ear binaural hearing aid     
          V5265         15       Ear mold/insert, disp           
          A9527         14       Iodine i-125 sodium iodide      
          C2624         14       Wireless pressure sensor        
          C2626         14       Infusion pump, non-prog,temp    
          G0459         14       Telehealth inpt pharm mgmt      
          G8395         14       Lvef>=40% doc normal or mild    
          G8708         14       Antibiotic not pres             
          G8842         14       Ahi or rdi initial dx           
          G9232         14       Ptrsn no comm comorbid          
          G9313         14       Docrsn not first line amox      
          G9521         14       Er and ip hosp <2 in 12 mos     
          J1190         14       Dexrazoxane hcl injection       
          J2210         14       Methylergonovin maleate inj     
          J9209         14       Mesna injection                 
          L0631         14       Lso sag r an/pos pnl pre cst    
          L3040         14       Ft arch suprt premold longit    
          S0077         14       Injection, clindamycin phosp    
          S0170         14       Anastrozole 1 mg                
          V2784         14       Lens polycarb or equal          
          A6261         13       Wound filler gel/paste /oz      
          A6451         13       Mod compres band w>=3"<5"/yd    
          A9557         13       Tc99m bicisate                  
          G0259         13       Inject for sacroiliac joint     
          G8853         13       Pos air press not prescribe     
          G8947         13       1 or more neuropsych            
          J0558         13       Peng benzathine/procaine inj    
          J0895         13       Deferoxamine mesylate inj       
          J1260         13       Dolasetron mesylate             
          J7605         13       Arformoterol non-comp unit      
          Q4122         13       Dermacell                       
          S0260         13       H&p for surgery                 
          S1015         13       Iv tubing extension set         
          S8110         13       Peak expiratory flow rate (p    
          V2599         13       Contact lens/es other type      
          V5008         13       Hearing screening               
          A4210         12       Nonneedle injection device      
          A4930         12       Sterile, gloves per pair        
          A5512         12       Multi den insert direct form    
          A5513         12       Multi den insert custom mold    
          A9508         12       I131 iodobenguate, dx           
          A9570         12       Indium in-111 auto wbc          
          C9741         12       Impl pressure sensor w/angio    
          E0114         12       Crutch underarm pair no wood    
          G9277         12       Doc daily aspirin or contra     
          G9634         12       Qual life tool 2x same/impr     
          J7518         12       Mycophenolic acid               
          J9017         12       Arsenic trioxide injection      
          J9330         12       Temsirolimus injection          
                                   HCPCS     15:51 Tuesday, July 5, 2022  26

